enterprise_value,signing_date,industry_sector,client_name,target_inc_country,percentage_to_be_sold
14000,2026-04-01,finance,Larimore Inc,NZL,34
91000,2022-10-11,retail,Gillenwaters GmbH,ERI,51
175000,2021-12-31,finance,Avis SA,ISR,76
179000,2022-10-11,infrastructure,Mercurio GmbH,MNP,25
106000,2026-04-01,manufacturing,Abney Inc,AIA,70
1000,2021-12-31,manufacturing,Rowe GmbH,SDN,77
184000,2022-10-11,infrastructure,Sullivan PLC,BLZ,99
44000,2023-01-01,creative,Schoonover Inc,CPV,42
129000,2021-12-31,finance,Brown International,SWZ,11
179000,2026-04-01,finance,Castillo PLC,DNK,59
133000,2022-10-11,manufacturing,Chattin GmbH,AGO,20
79000,2026-04-01,manufacturing,Denny SA,NLD,64
26000,2023-01-01,creative,Kistler Inc,JOR,34
36000,2022-07-07,creative,Lunt Inc,GUF,98
182000,2022-10-11,retail,Moore GmbH,MNP,47
67000,2022-07-07,manufacturing,Blaisdell International,KEN,16
180000,2026-04-01,retail,Martinez GmbH,SHN,84
193000,2021-12-31,creative,Foley Inc,TKL,40
35000,2021-12-31,finance,Brennan International,REU,44
106000,2022-10-11,finance,Huang SA,BLZ,77
15000,2023-01-01,creative,Hopkins PLC,BRA,14
198000,2026-04-01,manufacturing,Schell PLC,FRO,29
172000,2022-10-11,creative,Woods Inc,ARM,18
177000,2026-04-01,infrastructure,Stelly International,NGA,35
66000,2021-12-31,manufacturing,Nash GmbH,VCT,55
28000,2022-10-11,creative,Deloria Inc,KWT,6
184000,2022-10-11,manufacturing,Sanchez PLC,BMU,38
134000,2023-01-01,creative,Toth Ltd,NGA,34
150000,2021-12-31,manufacturing,Perez Ltd,SEN,85
165000,2026-04-01,finance,Fields PLC,CIV,77
56000,2021-12-31,retail,Gordon International,ARE,12
164000,2023-01-01,infrastructure,Boyce SA,ARE,12
56000,2026-04-01,retail,Davis Ltd,FLK,30
140000,2021-12-31,manufacturing,Patton GmbH,ERI,1
136000,2026-04-01,finance,Zeigler PLC,DZA,92
162000,2026-04-01,infrastructure,Kelty PLC,CCK,15
195000,2023-01-01,infrastructure,Romano Inc,GUM,40
35000,2026-04-01,finance,Morse GmbH,SEN,46
112000,2021-12-31,retail,Jones SA,TTO,95
163000,2021-12-31,creative,Anthony PLC,PRK,58
190000,2023-01-01,creative,Vega GmbH,BHS,97
119000,2023-01-01,retail,Owens SA,GUF,77
85000,2021-12-31,infrastructure,Thompson GmbH,URY,50
5000,2022-10-11,creative,Geyer Ltd,WSM,23
195000,2021-12-31,retail,Robbins Ltd,GUF,36
185000,2022-10-11,finance,Hernandes PLC,MAC,81
33000,2023-01-01,finance,Borg International,GRD,66
153000,2023-01-01,finance,Holmes GmbH,DNK,80
184000,2022-10-11,creative,Woodard Inc,NCL,85
99000,2023-01-01,finance,Richardson International,URY,58
94000,2026-04-01,creative,Campanelli International,OMN,8
40000,2026-04-01,retail,Washington Ltd,WSM,85
158000,2026-04-01,creative,Murphy Ltd,DZA,65
197000,2022-10-11,finance,Herrera GmbH,IDN,32
130000,2022-10-11,finance,Juarez Ltd,SGS,95
9000,2021-12-31,creative,Shell Inc,TUR,15
131000,2022-07-07,retail,Gerula Ltd,CHN,42
159000,2026-04-01,creative,Goldsmith GmbH,SVN,47
43000,2021-12-31,retail,Bailey Ltd,SGS,96
115000,2021-12-31,retail,Ortiz GmbH,ISR,68
194000,2022-07-07,creative,Kea SA,TWN,43
53000,2023-01-01,creative,Rentfro Ltd,PNG,27
87000,2021-12-31,retail,Wilson International,BWA,46
3000,2023-01-01,finance,Switzer Inc,MKD,42
104000,2022-10-11,finance,Poole Inc,BES,76
99000,2021-12-31,creative,Miller SA,ALB,85
21000,2026-04-01,manufacturing,Wolfram Ltd,IRQ,52
137000,2023-01-01,creative,Yusef Ltd,DJI,8
184000,2023-01-01,creative,Ruff Inc,NRU,95
82000,2023-01-01,finance,Evans GmbH,MKD,73
12000,2021-12-31,creative,Deckard Inc,BRB,100
156000,2026-04-01,finance,Hoppe International,SJM,60
76000,2026-04-01,creative,Striplin International,MSR,55
112000,2026-04-01,finance,Robinson GmbH,BIH,31
89000,2022-07-07,retail,Scholl PLC,TTO,24
112000,2022-10-11,retail,Ortega Ltd,SSD,2
35000,2022-10-11,retail,Rickard Inc,NRU,58
169000,2023-01-01,finance,Arredondo GmbH,NZL,45
27000,2023-01-01,retail,Dubicki Ltd,TTO,68
85000,2022-10-11,creative,Kasten GmbH,WLF,4
73000,2022-10-11,creative,Valley SA,BRA,3
15000,2021-12-31,manufacturing,Pitts PLC,SMR,68
108000,2023-01-01,infrastructure,Allred International,JOR,90
117000,2023-01-01,infrastructure,Rodrigue Inc,MAR,67
139000,2026-04-01,manufacturing,Stamps Ltd,AND,51
159000,2023-01-01,retail,Rivera PLC,AGO,87
183000,2022-07-07,finance,Jackson GmbH,OMN,65
139000,2026-04-01,retail,Johnson Inc,PNG,79
95000,2026-04-01,infrastructure,Madril International,BMU,62
113000,2022-07-07,retail,Lyons International,FJI,26
114000,2023-01-01,infrastructure,Cavender PLC,NIC,86
155000,2022-10-11,retail,Adams Inc,NGA,96
40000,2026-04-01,finance,Murphy Ltd,GEO,6
96000,2023-01-01,creative,Adkins Ltd,BMU,46
20000,2022-10-11,manufacturing,Jemison GmbH,BFA,16
115000,2026-04-01,retail,Eunice SA,NPL,4
0000,2026-04-01,finance,Gard Inc,VIR,43
70000,2023-01-01,finance,Swanson Inc,MKD,33
19000,2022-10-11,finance,Craddock Inc,VGB,28
52000,2026-04-01,retail,Wood International,MYT,52
49000,2026-04-01,manufacturing,Dorsey International,FRA,77
90000,2022-07-07,retail,Moore Inc,KGZ,52
160000,2022-10-11,infrastructure,Hickam Inc,CYP,21
19000,2022-10-11,infrastructure,Stuart International,GEO,82
102000,2022-10-11,infrastructure,Lawson GmbH,BLM,21
94000,2023-01-01,finance,Merrifield PLC,GUF,65
9000,2026-04-01,retail,Wrubel PLC,CHL,72
123000,2022-07-07,manufacturing,Bristle SA,CIV,17
180000,2022-07-07,creative,Satterfield Ltd,COM,68
100000,2021-12-31,retail,Thompson PLC,BRA,59
130000,2022-07-07,retail,Thompson GmbH,REU,69
79000,2021-12-31,infrastructure,Cuevas Ltd,DOM,91
124000,2026-04-01,finance,Overturf GmbH,BFA,59
104000,2026-04-01,finance,Owens SA,BLM,10
141000,2022-10-11,manufacturing,Reyes PLC,CUB,80
38000,2022-07-07,infrastructure,Shannon GmbH,DMA,76
43000,2022-10-11,manufacturing,Silva SA,MYS,76
148000,2022-07-07,manufacturing,Chiapetti International,IRN,25
187000,2026-04-01,retail,Kidd Ltd,MDG,31
6000,2023-01-01,infrastructure,Wright International,ASM,68
160000,2022-10-11,retail,Kisner International,GRL,55
25000,2026-04-01,creative,Damon PLC,BGR,44
73000,2021-12-31,creative,Orwig Ltd,TKL,61
142000,2022-10-11,finance,Pendergast International,ROU,6
20000,2021-12-31,finance,Barnard PLC,CPV,41
174000,2022-10-11,creative,Mcgill Inc,CAF,9
128000,2023-01-01,retail,Wallace International,BDI,56
40000,2021-12-31,retail,Ballas GmbH,AUS,98
139000,2023-01-01,finance,Scott PLC,KAZ,3
74000,2022-10-11,finance,Pittman Inc,COM,87
176000,2021-12-31,infrastructure,Nunnery International,CIV,65
60000,2021-12-31,manufacturing,Chapman SA,GUF,78
61000,2022-10-11,infrastructure,Goetz GmbH,PRY,20
70000,2022-07-07,manufacturing,Averill SA,GIB,55
162000,2023-01-01,creative,Mcghee GmbH,GRC,51
173000,2022-10-11,creative,Smith GmbH,MOZ,52
174000,2022-10-11,creative,Washington SA,HKG,13
70000,2022-07-07,creative,Dotson GmbH,ATA,41
177000,2026-04-01,infrastructure,Caldwell GmbH,FJI,89
28000,2022-07-07,manufacturing,Bolden Inc,NPL,49
70000,2022-07-07,infrastructure,Lamb GmbH,BGD,65
72000,2022-07-07,infrastructure,Fields GmbH,BVT,65
1000,2022-07-07,creative,Nance GmbH,MUS,86
81000,2022-10-11,manufacturing,Perry SA,DNK,89
58000,2021-12-31,manufacturing,Bethel PLC,SYR,55
39000,2022-10-11,retail,Williams Ltd,SXM,91
62000,2026-04-01,creative,Kueny Ltd,DOM,33
44000,2026-04-01,manufacturing,Hopkins International,FIN,78
50000,2021-12-31,manufacturing,Mcqueen SA,FRO,72
122000,2023-01-01,creative,Williams PLC,SEN,44
168000,2023-01-01,infrastructure,Mahr PLC,SYR,30
90000,2021-12-31,finance,Blank International,MDV,57
2000,2022-10-11,finance,Resnick International,NGA,39
38000,2022-10-11,retail,Mcclain Inc,CXR,64
16000,2026-04-01,retail,Sandoval Inc,IRN,73
139000,2022-07-07,creative,Gerardi SA,DOM,68
172000,2021-12-31,manufacturing,Munselle SA,BGR,21
181000,2022-10-11,infrastructure,Gritton International,TUR,47
195000,2022-07-07,retail,Winterbottom Ltd,COM,100
158000,2022-10-11,retail,Kosky International,COD,44
111000,2022-10-11,manufacturing,Bryant SA,AUT,69
178000,2021-12-31,infrastructure,Bass PLC,TJK,37
108000,2022-07-07,retail,Young PLC,HRV,30
84000,2023-01-01,infrastructure,Collins GmbH,TCA,44
83000,2022-10-11,finance,Berwick SA,ATA,58
20000,2026-04-01,retail,Lemons International,ARM,86
37000,2026-04-01,creative,Brumble International,ZWE,97
133000,2022-07-07,creative,Harmon GmbH,NGA,74
188000,2021-12-31,infrastructure,Mclaughlin International,MKD,91
189000,2022-10-11,finance,Cole Ltd,DNK,100
2000,2022-10-11,creative,Smith GmbH,ITA,6
177000,2022-07-07,finance,Spegal GmbH,CHL,49
112000,2022-10-11,infrastructure,Gagne GmbH,PRY,20
135000,2022-07-07,manufacturing,George PLC,AGO,10
141000,2021-12-31,infrastructure,Jacques GmbH,PRK,41
172000,2022-07-07,creative,Fetherston Ltd,GHA,79
147000,2022-10-11,finance,Zevallos Inc,ZWE,83
109000,2022-10-11,infrastructure,Clarke International,CCK,5
56000,2022-07-07,creative,Caylor PLC,GUM,45
182000,2022-07-07,manufacturing,Hirata SA,SVK,17
168000,2022-10-11,finance,Gracie Ltd,BOL,82
53000,2022-07-07,creative,Cortez Inc,MNE,20
112000,2026-04-01,retail,Frost SA,TCA,74
22000,2022-10-11,finance,Barrera Inc,ITA,15
23000,2022-10-11,retail,Partee GmbH,FSM,46
61000,2026-04-01,infrastructure,King Ltd,AIA,71
46000,2022-10-11,manufacturing,Pettway International,NIU,80
111000,2022-10-11,finance,Jackson GmbH,MNG,69
63000,2026-04-01,infrastructure,Shufelt PLC,PRT,59
161000,2021-12-31,infrastructure,Pell International,LVA,43
130000,2022-07-07,infrastructure,Kha GmbH,NZL,44
132000,2026-04-01,manufacturing,Honey International,SOM,38
145000,2022-10-11,creative,Estwick Inc,CYM,23
155000,2026-04-01,creative,Lawton SA,LIE,58
38000,2022-10-11,creative,King Ltd,NER,47
176000,2022-10-11,finance,Dalessandro SA,CMR,67
4000,2023-01-01,manufacturing,Payne SA,REU,17
61000,2022-10-11,infrastructure,Nuzum GmbH,HMD,63
34000,2023-01-01,finance,Hubbard International,DMA,35
139000,2022-07-07,infrastructure,Dietz SA,ATF,23
87000,2022-07-07,retail,Hawk SA,GBR,4
89000,2022-10-11,retail,Martinez Inc,SDN,90
29000,2022-10-11,retail,Hong Inc,PRI,72
180000,2026-04-01,creative,Nicholson GmbH,FJI,43
133000,2023-01-01,creative,Rivera Inc,KGZ,82
80000,2021-12-31,creative,Wood Inc,FJI,99
7000,2023-01-01,retail,Marin Inc,DMA,90
82000,2026-04-01,retail,Cole SA,ABW,40
57000,2022-07-07,finance,Neal SA,HMD,12
135000,2021-12-31,infrastructure,Harris Ltd,UZB,50
11000,2021-12-31,manufacturing,Mildenstein PLC,BEL,14
53000,2022-10-11,retail,Fuger GmbH,BWA,73
41000,2023-01-01,manufacturing,Molina SA,MKD,8
3000,2021-12-31,retail,Morris PLC,NAM,75
148000,2022-07-07,finance,Powell SA,SOM,92
19000,2022-10-11,retail,Morris Inc,KHM,88
132000,2021-12-31,manufacturing,Smith SA,BRA,63
181000,2021-12-31,finance,Hunt PLC,MDV,17
126000,2022-10-11,finance,Hicks International,FRA,77
64000,2022-07-07,infrastructure,Chavez International,MYS,28
110000,2022-07-07,infrastructure,Daugherty International,BRA,45
90000,2022-10-11,infrastructure,Amaya GmbH,DZA,41
189000,2026-04-01,finance,Brunkhorst Ltd,DEU,79
76000,2026-04-01,creative,Deason GmbH,BLM,48
87000,2021-12-31,retail,Mazur Inc,NOR,8
127000,2022-07-07,manufacturing,Egerton PLC,LTU,1
137000,2021-12-31,retail,Heasley Ltd,CIV,90
36000,2022-07-07,creative,Thornton GmbH,FRA,63
85000,2023-01-01,creative,Palmer Ltd,GLP,8
41000,2021-12-31,finance,Markus GmbH,GNQ,98
105000,2021-12-31,retail,Campos Inc,VEN,29
148000,2026-04-01,retail,James GmbH,PAN,3
40000,2022-07-07,retail,Snyder Ltd,FIN,93
73000,2026-04-01,finance,Etheridge PLC,ATG,17
42000,2023-01-01,infrastructure,Hughes PLC,SVK,65
180000,2022-07-07,infrastructure,Schultheis International,CYP,97
71000,2022-07-07,retail,Gray Inc,CPV,4
51000,2026-04-01,creative,Williams PLC,MAF,99
35000,2022-10-11,manufacturing,Rutledge GmbH,JPN,36
153000,2023-01-01,retail,Spiller International,ESH,26
174000,2022-10-11,manufacturing,Torres SA,AIA,6
84000,2021-12-31,creative,Livingston International,TUV,60
178000,2026-04-01,manufacturing,Ash Ltd,HND,88
153000,2022-10-11,creative,Steinbeck GmbH,DOM,87
138000,2023-01-01,manufacturing,Murdock SA,SYC,43
111000,2023-01-01,creative,Wedeking GmbH,KGZ,21
187000,2022-10-11,finance,Stewart International,COK,62
118000,2022-07-07,finance,Grau International,RUS,69
91000,2021-12-31,creative,Bulger International,BRA,86
146000,2022-10-11,creative,Plante International,TZA,65
182000,2026-04-01,finance,Alton SA,AFG,35
199000,2022-07-07,creative,Moore SA,BRN,5
56000,2021-12-31,manufacturing,Knee Ltd,AIA,82
112000,2021-12-31,finance,Linch Ltd,MSR,42
66000,2023-01-01,creative,Willie GmbH,TUN,8
68000,2021-12-31,finance,Rainwater SA,MCO,27
72000,2023-01-01,creative,Earing GmbH,MEX,41
165000,2021-12-31,infrastructure,Oberholtzer SA,GNQ,81
61000,2021-12-31,retail,Conley International,GBR,75
17000,2023-01-01,infrastructure,Frey PLC,BMU,15
32000,2021-12-31,finance,Kwan PLC,CHL,24
18000,2026-04-01,finance,Dye International,ARE,86
79000,2026-04-01,infrastructure,Tucker International,MTQ,38
12000,2021-12-31,finance,Parker GmbH,CPV,4
12000,2026-04-01,retail,Pele SA,NGA,2
43000,2026-04-01,finance,Bria PLC,GRD,50
109000,2023-01-01,retail,Tran GmbH,AZE,63
150000,2026-04-01,retail,Cole GmbH,DMA,55
110000,2023-01-01,retail,Rios PLC,MYT,99
100000,2023-01-01,infrastructure,Robles Ltd,BFA,48
74000,2023-01-01,manufacturing,Close Ltd,KOR,83
158000,2023-01-01,finance,Woods PLC,MCO,45
24000,2022-10-11,infrastructure,Pina Ltd,IRQ,53
31000,2022-07-07,manufacturing,Holland PLC,ATF,10
79000,2022-07-07,manufacturing,Shortino Ltd,CZE,100
145000,2022-10-11,finance,Singer Ltd,MAR,69
119000,2022-10-11,retail,Miller Ltd,CHL,48
67000,2022-07-07,finance,Clay PLC,LIE,60
141000,2023-01-01,creative,Taylor Inc,GGY,25
187000,2026-04-01,infrastructure,Philips GmbH,MKD,9
116000,2022-10-11,manufacturing,August Inc,WSM,27
155000,2026-04-01,manufacturing,Hughett Ltd,SEN,15
28000,2021-12-31,manufacturing,Ruffin SA,GIB,99
13000,2022-10-11,manufacturing,Henson International,EST,23
135000,2021-12-31,creative,Franklin Ltd,BEL,53
132000,2022-07-07,retail,Flores Ltd,NGA,100
146000,2022-10-11,finance,Ortega PLC,EST,84
116000,2026-04-01,retail,Sims PLC,CMR,86
63000,2022-07-07,manufacturing,Campbell Inc,GAB,38
161000,2022-07-07,finance,Bernier Inc,MMR,72
12000,2026-04-01,creative,Lamison Ltd,BWA,75
93000,2021-12-31,finance,Mahan Ltd,TUV,45
111000,2022-10-11,infrastructure,Mueller Inc,POL,20
77000,2021-12-31,finance,Sturges GmbH,GTM,62
86000,2022-10-11,manufacturing,Christensen PLC,NZL,61
193000,2022-10-11,creative,Phillip Inc,DOM,21
192000,2022-07-07,retail,Perkins International,COK,95
49000,2023-01-01,retail,Vanluven GmbH,USA,74
73000,2026-04-01,infrastructure,Hayes SA,ASM,84
26000,2026-04-01,infrastructure,Hill Inc,ERI,27
8000,2022-07-07,finance,Council Inc,GUM,51
72000,2022-10-11,infrastructure,Wells International,SXM,82
1000,2022-07-07,manufacturing,Sandoval GmbH,IDN,20
148000,2021-12-31,manufacturing,Esqueda International,BES,71
18000,2022-10-11,manufacturing,Garza Ltd,PRI,79
158000,2023-01-01,retail,Rice SA,PNG,32
8000,2026-04-01,retail,Dansby GmbH,ITA,53
129000,2022-10-11,infrastructure,White SA,PYF,75
143000,2021-12-31,retail,Stegman PLC,AND,3
150000,2022-07-07,manufacturing,Beaird SA,KAZ,28
120000,2022-07-07,creative,Smith GmbH,MMR,25
81000,2023-01-01,finance,Piles PLC,IOT,2
83000,2022-10-11,creative,Dominquez International,ISL,67
9000,2022-07-07,manufacturing,Troxler Inc,ESH,34
17000,2026-04-01,retail,Ratcliff Ltd,NRU,60
11000,2022-10-11,manufacturing,Orcutt SA,MRT,58
124000,2021-12-31,infrastructure,Reynolds GmbH,CRI,58
49000,2026-04-01,infrastructure,Spencer Inc,SJM,19
119000,2022-07-07,retail,Baker PLC,BRN,62
46000,2026-04-01,creative,Lanier Ltd,TLS,63
129000,2023-01-01,creative,Casteel SA,BLZ,38
192000,2023-01-01,finance,Butts International,WLF,58
7000,2026-04-01,retail,Burdick Inc,GNQ,1
106000,2023-01-01,finance,Lewis PLC,NAM,46
86000,2022-10-11,manufacturing,Boos International,PCN,41
133000,2022-10-11,retail,Craig PLC,NZL,74
186000,2026-04-01,manufacturing,Hart GmbH,ZAF,70
150000,2022-07-07,infrastructure,Wigfall International,ZAF,10
98000,2021-12-31,manufacturing,Phelps Inc,AND,99
119000,2021-12-31,finance,Guttirez GmbH,SXM,69
24000,2022-10-11,infrastructure,Kuhn GmbH,POL,31
138000,2022-10-11,finance,Williams Inc,CPV,25
120000,2026-04-01,infrastructure,Mclean GmbH,BTN,85
96000,2023-01-01,finance,Mellett International,BDI,38
112000,2026-04-01,creative,Souza SA,KHM,7
146000,2022-07-07,creative,Labounty SA,ALB,72
103000,2022-10-11,retail,Kimberlin PLC,TLS,85
48000,2023-01-01,manufacturing,Dunford GmbH,SAU,12
43000,2022-10-11,retail,Martinez Ltd,ITA,80
142000,2021-12-31,creative,Wallace PLC,TUV,64
65000,2023-01-01,retail,Wright PLC,ASM,89
106000,2022-10-11,finance,Espinal SA,CZE,40
170000,2026-04-01,finance,Dove Inc,COD,44
72000,2023-01-01,creative,Johnston PLC,NPL,21
167000,2021-12-31,creative,Jaegers PLC,NOR,46
140000,2022-07-07,creative,Varin Inc,ETH,78
77000,2022-10-11,finance,Dunn Ltd,LIE,2
21000,2023-01-01,infrastructure,Dupree Inc,DZA,14
80000,2026-04-01,manufacturing,Thomas PLC,PCN,55
156000,2023-01-01,manufacturing,Tanner PLC,URY,67
79000,2026-04-01,manufacturing,Cook PLC,SWE,26
53000,2023-01-01,finance,Schlueter Inc,SVK,23
170000,2022-07-07,infrastructure,Cardenas PLC,FIN,42
103000,2022-07-07,creative,Black Inc,TUN,16
71000,2021-12-31,finance,Thady Inc,TLS,88
158000,2026-04-01,creative,Gove PLC,CXR,94
98000,2023-01-01,manufacturing,Douglas GmbH,LTU,84
141000,2023-01-01,creative,Morales PLC,BWA,58
96000,2023-01-01,creative,Kobashigawa Ltd,KAZ,68
92000,2023-01-01,manufacturing,Conklin Inc,IMN,93
60000,2023-01-01,infrastructure,Mcdaniel GmbH,PRT,21
21000,2022-07-07,infrastructure,Lunford Inc,JOR,93
86000,2026-04-01,manufacturing,Thomas Ltd,DOM,71
40000,2021-12-31,finance,Ziech SA,MDV,95
94000,2021-12-31,manufacturing,Myers GmbH,YEM,24
174000,2021-12-31,manufacturing,Diaz Inc,TLS,86
175000,2023-01-01,manufacturing,Burnett Inc,VNM,18
33000,2021-12-31,infrastructure,Rosser GmbH,TTO,78
29000,2022-10-11,creative,Barnfield International,JPN,52
15000,2022-07-07,retail,Oldfather GmbH,THA,53
1000,2026-04-01,infrastructure,Johnson SA,GAB,71
127000,2022-10-11,infrastructure,Potter International,CHL,56
135000,2023-01-01,retail,Klingbeil GmbH,AGO,59
160000,2022-10-11,finance,Daniels International,AUS,50
123000,2022-07-07,manufacturing,Burkett PLC,CHN,73
113000,2026-04-01,infrastructure,James Ltd,ZAF,58
111000,2023-01-01,manufacturing,Burns Inc,FIN,67
192000,2022-10-11,infrastructure,Timmons SA,VNM,11
135000,2021-12-31,retail,Gibbs PLC,USA,43
94000,2026-04-01,infrastructure,Morris Ltd,UGA,7
162000,2026-04-01,retail,Carroll SA,MNE,80
27000,2021-12-31,manufacturing,Parker Inc,CMR,37
78000,2022-10-11,retail,Hedman Ltd,ISL,95
186000,2022-10-11,creative,Ward SA,MAR,73
41000,2023-01-01,creative,Kanas GmbH,HND,83
172000,2021-12-31,finance,Rosenthal PLC,SRB,100
79000,2022-07-07,infrastructure,Mitchell GmbH,CHE,92
9000,2021-12-31,finance,Hunter SA,IRL,77
106000,2021-12-31,creative,Goodier Inc,NFK,22
47000,2021-12-31,manufacturing,Hudgens Inc,PNG,54
130000,2021-12-31,finance,Allbright SA,MDV,4
195000,2021-12-31,finance,Willis International,PRY,36
132000,2026-04-01,infrastructure,Emme SA,HRV,76
159000,2022-07-07,creative,Grant Ltd,ETH,8
40000,2022-10-11,creative,Shore Inc,ZWE,61
101000,2021-12-31,manufacturing,Smith International,TUN,30
47000,2021-12-31,finance,Carter International,AIA,32
95000,2022-07-07,creative,Watkins Ltd,ROU,88
41000,2023-01-01,infrastructure,Martine PLC,IOT,95
169000,2022-07-07,infrastructure,Lybarger Inc,TWN,19
77000,2026-04-01,finance,Mrozinski SA,PLW,28
15000,2021-12-31,infrastructure,Bolton GmbH,LIE,89
19000,2021-12-31,infrastructure,Brown International,FRA,72
74000,2021-12-31,creative,Jefferies International,GGY,54
71000,2021-12-31,retail,Mcconnell Ltd,MCO,43
130000,2023-01-01,retail,Nichols Inc,UKR,8
199000,2022-10-11,retail,Altschuler PLC,HMD,66
120000,2023-01-01,infrastructure,Larsen GmbH,CZE,87
62000,2021-12-31,creative,Martinez Ltd,ECU,12
0000,2023-01-01,infrastructure,Castaneda Inc,NIU,96
161000,2022-10-11,retail,Suchan SA,LBR,62
101000,2023-01-01,creative,Carson GmbH,ALA,43
54000,2022-10-11,manufacturing,Smith International,ALB,94
84000,2022-07-07,creative,Legan International,CYM,14
23000,2022-10-11,manufacturing,Braund Ltd,MKD,17
189000,2021-12-31,finance,George Inc,AND,4
189000,2023-01-01,creative,Joseph GmbH,NIU,85
167000,2022-10-11,infrastructure,Shade International,ATA,62
89000,2026-04-01,creative,Castaneda International,IMN,90
126000,2021-12-31,manufacturing,Munoz PLC,TKM,5
103000,2023-01-01,infrastructure,Crawford GmbH,TJK,45
98000,2023-01-01,retail,Hall PLC,TUR,78
72000,2022-10-11,manufacturing,Riggs SA,AND,35
64000,2023-01-01,manufacturing,Cardenas International,ZMB,40
162000,2021-12-31,infrastructure,Lagasca Inc,AFG,54
174000,2023-01-01,creative,Collier Inc,DJI,13
132000,2021-12-31,finance,Finke PLC,CHE,51
86000,2026-04-01,retail,Fletcher International,BHR,2
8000,2026-04-01,finance,Marchitto Inc,BTN,82
189000,2022-07-07,manufacturing,Murray Inc,TON,19
25000,2026-04-01,creative,Pousson Inc,ESP,17
121000,2023-01-01,creative,Leake PLC,MLI,50
32000,2021-12-31,creative,Thompson Inc,TUV,42
48000,2021-12-31,infrastructure,Shields SA,BHR,77
18000,2026-04-01,retail,Hachey International,ATF,39
51000,2026-04-01,creative,Smith Ltd,PAK,67
1000,2021-12-31,manufacturing,Scally GmbH,DJI,90
76000,2023-01-01,creative,Breland Ltd,AFG,53
57000,2026-04-01,manufacturing,Fisher SA,MHL,69
174000,2022-10-11,infrastructure,Cook Ltd,CUW,29
36000,2022-10-11,retail,Holbrook Ltd,HND,79
159000,2022-07-07,infrastructure,Mapston SA,SSD,7
133000,2023-01-01,infrastructure,Cole International,FRA,77
175000,2022-10-11,infrastructure,Rodriguez International,VGB,62
64000,2022-07-07,infrastructure,Muller Inc,NAM,21
80000,2026-04-01,infrastructure,Randazzo Inc,GUF,69
198000,2022-10-11,finance,Krieger Inc,ITA,95
44000,2026-04-01,manufacturing,Scott PLC,USA,57
168000,2026-04-01,creative,Newberry Ltd,BVT,74
194000,2022-07-07,retail,Cantara GmbH,ABW,3
81000,2026-04-01,retail,Paul PLC,NRU,66
12000,2023-01-01,finance,Pearson GmbH,CPV,37
65000,2026-04-01,infrastructure,Tanner GmbH,MWI,32
80000,2021-12-31,finance,Sears International,QAT,87
126000,2022-10-11,creative,Jasper Ltd,CHL,89
36000,2021-12-31,creative,Lattea SA,BEL,32
16000,2022-07-07,finance,Flores PLC,LBR,67
186000,2022-07-07,finance,Hernandez SA,FRO,77
107000,2026-04-01,manufacturing,Chan SA,BES,95
121000,2021-12-31,retail,Rubin GmbH,HKG,54
50000,2021-12-31,infrastructure,Edwards Inc,MDG,89
134000,2022-07-07,finance,Nolte Inc,MYT,100
58000,2022-10-11,finance,Savitch International,ASM,53
0000,2021-12-31,creative,Washington Inc,TUR,93
15000,2022-07-07,retail,Mcclure International,GGY,50
111000,2023-01-01,retail,Brannen International,IDN,47
146000,2022-10-11,finance,Goldhirsh PLC,KEN,81
127000,2023-01-01,retail,Holmes SA,LUX,86
125000,2026-04-01,creative,Smith SA,BLR,82
69000,2023-01-01,infrastructure,Harrison International,BLM,30
120000,2026-04-01,manufacturing,Grissom GmbH,COL,77
9000,2023-01-01,retail,Holmes International,MYS,34
52000,2023-01-01,manufacturing,Hendrix Inc,MEX,11
157000,2022-07-07,finance,Charles Inc,MUS,17
162000,2022-10-11,infrastructure,Fontaine International,ARG,19
149000,2022-10-11,retail,Mcdaniel PLC,BEL,87
33000,2023-01-01,manufacturing,Leppla International,HND,79
49000,2022-10-11,infrastructure,Catalan PLC,TUN,16
5000,2022-07-07,infrastructure,Brooks International,MTQ,63
128000,2026-04-01,retail,Cook GmbH,KAZ,29
198000,2022-07-07,retail,Allen Inc,ABW,27
146000,2022-10-11,retail,Scroggins International,SJM,33
140000,2021-12-31,creative,Austin Ltd,AFG,3
179000,2021-12-31,retail,Belcher SA,NCL,23
110000,2021-12-31,manufacturing,Lawson SA,ISL,10
173000,2026-04-01,creative,Callaway PLC,COK,30
93000,2021-12-31,infrastructure,Love Inc,HMD,3
150000,2026-04-01,retail,Rhyner Inc,URY,38
86000,2022-10-11,finance,Barrios International,MLI,80
2000,2022-10-11,retail,Huff PLC,IMN,98
199000,2022-10-11,retail,Hoey SA,KEN,62
137000,2026-04-01,manufacturing,Vanburen Inc,SVK,55
4000,2021-12-31,manufacturing,Pineda PLC,SEN,25
7000,2022-07-07,finance,Narvaez International,KWT,74
51000,2023-01-01,finance,Osorno Inc,IMN,90
164000,2022-10-11,manufacturing,Huffman Ltd,FRO,77
9000,2022-07-07,finance,Fulghum SA,PSE,21
5000,2022-07-07,manufacturing,Foley GmbH,NIC,95
9000,2022-10-11,creative,Smith Inc,SYC,29
94000,2022-07-07,infrastructure,Lee GmbH,VIR,81
104000,2022-07-07,manufacturing,Hopkins Ltd,PHL,7
0000,2023-01-01,retail,Lawrence Ltd,MMR,2
